"url","Thumbnail image","Thumbnail image_alt","Thumbnail image_link","Title value","Title value_link","Title image","Title image_alt","Title image_link","Textsuccess value","Textsuccess value_link","Textinfo description","Textinfo description_link","Textwarning value","Textwarning value_link","Texterror value","Texterror value_link"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Classictech_Vacancy_I_4068-Logo.gif","","http://www.merojob.com/nepaljob/front-desk-associate_40255.html","Front Desk Associate","http://www.merojob.com/nepaljob/front-desk-associate_40255.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/front-desk-associate_40255.html","Classic Tech","http://www.merojob.com/nepaljob/front-desk-associate_40255.html","Good Communication and interpersonal skills with pleasant personality Dynamic personality Customer relationship Should have good front desk j...","http://www.merojob.com/nepaljob/front-desk-associate_40255.html","Education: Bachelor | Views: 5978 |","http://www.merojob.com/nepaljob/front-desk-associate_40255.html","Deadline: 2 days left","http://www.merojob.com/nepaljob/front-desk-associate_40255.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Foodmandu_Vacancy_HJP_Dec_24_2015-logo.gif","","http://www.merojob.com/nepaljob/customer-service-representative_40212.html","Customer Service Representative","http://www.merojob.com/nepaljob/customer-service-representative_40212.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/customer-service-representative_40212.html","Foodmandu","http://www.merojob.com/nepaljob/customer-service-representative_40212.html","Experience in customer service or hospitality industry will be a plus Having good working knowledge of basic computer applications Proper handl...","http://www.merojob.com/nepaljob/customer-service-representative_40212.html","Education: Bachelor | Views: 7209 |","http://www.merojob.com/nepaljob/customer-service-representative_40212.html","Deadline: 1 day left","http://www.merojob.com/nepaljob/customer-service-representative_40212.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Real_Solutions_Pvt_Ltd_Vacancy_III-logo.gif","","http://www.merojob.com/nepaljob/hr-executive_40211.html","HR Executive","http://www.merojob.com/nepaljob/hr-executive_40211.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/hr-executive_40211.html","Real Solutions","http://www.merojob.com/nepaljob/hr-executive_40211.html","Should have the knowledge of labour law and HR functions Should have the knowledge of current trends and practices in HR Should have coor...","http://www.merojob.com/nepaljob/hr-executive_40211.html","Education: Master | Views: 7202 |","http://www.merojob.com/nepaljob/hr-executive_40211.html","Deadline: 1 day left","http://www.merojob.com/nepaljob/hr-executive_40211.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/WVI_Nepal_TJP_Aug_07_2015-logo.gif","","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html","Advocacy Manager ( One )","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html","World Vision International Nepal","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html","-","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html","Education: Bachelor | Views: 2507 |","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html","Deadline: 6 days left","http://www.merojob.com/nepaljob/advocacy-manager-one_40179.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/WVI_Nepal_TJP_Aug_07_2015-logo.gif","","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html","Monitoring, Communication and Documentation Coordinator - (One)","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html","World Vision International Nepal (WVIN)","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html","-","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html","Education: Bachelor | Views: 4536 |","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html","Deadline: 5 days left","http://www.merojob.com/nepaljob/monitoring-communication-and-documentation-coordinator_40184.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/SNV_Vacancy_TJP_Feb_26_2016_11-Logo.gif","","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html","Business Advisor Nepal","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html","SNV Nepal (Agriterra)","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html","-","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html","Education: 0 | Views: 7983 |","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html","Deadline: 1 day left","http://www.merojob.com/nepaljob/business-advisor-nepal_40139.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Action_Contre_La_Faim_Vacancy-logo.gif","","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html","Mental Health Care and Practices Program Manager","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html","http://www.merojob.com/images/SI/Top.png","TOP JOB","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html","Action Contre La Faim (ACF)","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html","Four years of experience with at least one year experience in Humanitarian Sector Expertise in psychosocial sector in Humanitarian field Experi...","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html","Education: Master | Views: 2777 |","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html","Deadline: 3 days left","http://www.merojob.com/nepaljob/mental-health-care-and-practices-program-manager_40120.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Free_Wheel_HJP_Vacancy_2016_Jul_01-Logo.jpg","","http://www.merojob.com/nepaljob/sales-person-female_40373.html","Sales Person (Female)","http://www.merojob.com/nepaljob/sales-person-female_40373.html","http://www.merojob.com/images/SI/Hot.png","HOT JOB","http://www.merojob.com/nepaljob/sales-person-female_40373.html","Freewheel","http://www.merojob.com/nepaljob/sales-person-female_40373.html","Candidate should have good presentation and communication skills. Ability to work independently & mananging all priorities. Good understand...","http://www.merojob.com/nepaljob/sales-person-female_40373.html","Education: Intermediate | Views: 309 |","http://www.merojob.com/nepaljob/sales-person-female_40373.html","Deadline: 6 days left","http://www.merojob.com/nepaljob/sales-person-female_40373.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Free_Wheel_HJP_Vacancy_2016_Jul_01-Logo.jpg","","http://www.merojob.com/nepaljob/store-keeper_40372.html","Store Keeper","http://www.merojob.com/nepaljob/store-keeper_40372.html","http://www.merojob.com/images/SI/Hot.png","HOT JOB","http://www.merojob.com/nepaljob/store-keeper_40372.html","Freewheel","http://www.merojob.com/nepaljob/store-keeper_40372.html","Good merchandising skills and a flair for conceiving and implementing creative merchandising themes. Strong interpersonal, motivational, communic...","http://www.merojob.com/nepaljob/store-keeper_40372.html","Education: Bachelor | Views: 319 |","http://www.merojob.com/nepaljob/store-keeper_40372.html","Deadline: 6 days left","http://www.merojob.com/nepaljob/store-keeper_40372.html"
"http://www.merojob.com/search-new/index.php","http://www.merojob.com/uploads/clientfiles/Free_Wheel_HJP_Vacancy_2016_Jul_01-Logo.jpg","","http://www.merojob.com/nepaljob/marketing-officer_40371.html","Marketing Officer","http://www.merojob.com/nepaljob/marketing-officer_40371.html","http://www.merojob.com/images/SI/Hot.png","HOT JOB","http://www.merojob.com/nepaljob/marketing-officer_40371.html","Freewheel","http://www.merojob.com/nepaljob/marketing-officer_40371.html","At least 2 years or more experience in related field Knowledge of overall marketing strategy and execution of plans for the existing products. ...","http://www.merojob.com/nepaljob/marketing-officer_40371.html","Education: Bachelor | Views: 292 |","http://www.merojob.com/nepaljob/marketing-officer_40371.html","Deadline: 6 days left","http://www.merojob.com/nepaljob/marketing-officer_40371.html"
